Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
Giám đốc Quản lý sản phẩm - DSP - MSB_Khối Chuyển đổi số (DF) - 1M466,N/A,Senior,6,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,$2448.98,,Careerviet
[DI6] Senior Data Engineer (SQL) – MSB - 1Y565,data engineer,Senior,3-4,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,$1000.00-2000.00,"Python, Java, SQL, AWS, Hadoop, Spark, Big Data, NoSQL, Agile, Kafka",Careerviet
[DI6] IT Business Analyst - MSB - 1Y563,business analyst,Junior,2-3,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,$1000.00-1500.00,"AWS, MySQL, JIRA, Confluence, Agile, Scrum",Careerviet
Senior Marketing Specialist (For EU Market),N/A,Senior,3-10,BSS Group,Hà Nội,$897.96-1224.49,,Careerviet
[DI6] Senior Java Developer/Squad Lead – MSB - 1Y560,software developer,Senior,3-4,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,$1000.00-3000.00,"Java, SQL, AWS, Spring, MySQL, Jenkins, Bitbucket, NoSQL, Agile, Scrum, Microservices",Careerviet
Chuyên Viên Phát Triển Nền Tảng Số (Digital Product),IT professional,Any Level,N/A,Công Ty Tài Chính TNHH MB SHINSEI (MCREDIT),Hà Nội,Negotiable,,Careerviet
KỸ SƯ QUẢN TRỊ HỆ THỐNG NỘI BỘ,data engineer,Junior,2,Công Ty Cổ Phần Indefol Solar,Hồ Chí Minh,$612.24,"MySQL, Linux, Unix",Careerviet
Voice Engineer in Ho Chi Minh Office,software engineer,Junior,1-2,"Trends & Technologies, Inc. Vietnam Co. Limited",Hồ Chí Minh,Negotiable,,Careerviet
Data Scientist Expert - Hà Nội - TA139,data scientist,Lead/Expert,5-7,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Negotiable,"Python, SQL, Excel, R",Careerviet
Frontend Developer - Angular,frontend developer,Junior,2,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội,Negotiable,Angular,Careerviet
Chuyên viên Giám sát điều tra (SOC),system administrator,Junior,1,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội,Negotiable,Linux,Careerviet
Digital Marketing Executive (For EU Market),IT professional,Junior,1-4,BSS Group,Hà Nội,$571.43-734.69,SEO,Careerviet
[DI6] Senior Tester (Automation/Manual) – MSB - 1Y561,QA engineer,Senior,3-4,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,$1000.00-2000.00,"AWS, Agile",Careerviet
Chuyên viên hỗ trợ vận hành (CNTT),N/A,Junior,2,Công ty Cổ phần Tập đoàn Y Dược Vietlife,Hà Nội,$612.24-1020.41,,Careerviet
SALE ADMIN,SAP consultant,Junior,1-2,CÔNG TY TNHH INFOPLUS,Hà Nội,Negotiable,ERP,Careerviet
Giảng viên Quản trị vận hành hệ thống mạng CNTT,N/A,Intermediate,3-5,Công ty Cổ phần Hướng nghiệp Á Âu,Hồ Chí Minh,$612.24-1020.41,,Careerviet
ERP System Analyst (1 year contract),systems analyst,Intermediate,3,Công ty TNHH Onpoint,Hồ Chí Minh,Negotiable,ERP,Careerviet
[I1] NHÂN VIÊN NETWORK,system administrator,Junior,1-3,BellSystem24-Việt Nam,Hồ Chí Minh,$489.80-571.43,"AWS, Linux, VMware, TCP/IP",Careerviet
Chuyên viên cao cấp Quản trị rủi ro Công nghệ thông tin,data analyst,Intermediate,3-5,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,$816.33-1428.57,"Python, SQL, Excel",Careerviet
Sales Manager,SAP consultant,Junior,2,CÔNG TY CỔ PHẦN CÔNG NGHỆ FOXAI,Hà Nội,Negotiable,ERP,Careerviet
CVCC/Chuyên gia Vận hành dịch vụ Cloud - MSB - KCN - 3I091,DevOps engineer,Junior,2-3,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,Negotiable,"Python, AWS, Ansible, Chef, Puppet, Linux, Bash, Selenium, Firewall",Careerviet
ERP Business Analyst & Operations Manager,business analyst,Lead/Expert,8-12,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Negotiable,,Careerviet
Chuyên viên phân tích nghiệp vụ (BA) - ERP,N/A,Intermediate,3,Tập Đoàn Karofi Holding,Hà Nội,$734.69-816.33,,Careerviet
Customer Service Specialist,N/A,Junior,2-3,Viet Thai International,Hồ Chí Minh,Negotiable,,Careerviet
Data Engineer,data engineer,Junior,2,Concung.com - Con Cung Joint Stock Company,Hồ Chí Minh,Negotiable,"Python, SQL, Power BI, AWS, Azure, GCP, Hadoop, Big Data, ETL",Careerviet
