Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
Trưởng Nhóm Quản Lý Phần Mềm Ứng Dụng & Cơ Sở Dữ Liệu,Database Administrator,Senior,5,Bệnh Viện Mắt Quốc Tế Việt - Nga,Hà Nội,Thương lượng,"Bảo Mật Dữ Liệu, Cơ Sở Dữ Liệu, PostgreSQL, HIS, Database SQL Server",Vietnamworks
Fresh Speed Up 2025 | Staff - IT,IT Professional,Any Level,N/A,B.Braun Vietnam Company Ltd.,Hồ Chí Minh,Thương lượng,"Công nghệ thông tin, Khoa Học Máy Tính, Tiếng Anh thành thạo",Vietnamworks
Tư Vấn Giải Pháp Mạng (Network Presale),Network Engineer,Junior,1,Công Ty Cổ Phần Tập Đoàn HiPT,Hà Nội,Thương lượng,"System Integrators, Consultant Service, Firewall, Cisco Firewall Security, Cloud Storage",Vietnamworks
UI UX Designer,UX/UI Designer,Junior,1,Doo Group,Hồ Chí Minh,$900.00-1000.00,"UX Design, UI Design, Adobe Illustrator, Adobe Photoshop, Figma",Vietnamworks
Java Software Developer - Hybrid Working,Software Developer,Intermediate,3,Công Ty Tài Chính TNHH Ngân Hàng TMCP Sài Gòn - Hà Nội (Shbfinance),Hà Nội,Thương lượng,"Java, Spring Boot, Microservices Architecture, Oracle, Postgres",Vietnamworks
Cybersecurity Engineer,Security Engineer,Junior,1,"First Trust ACPA Vietnam CO., LTD",Hà Nội,Thương lượng,"Communication Skills, Network Security, Penetration Testing",Vietnamworks
Kỹ Sư IT ERP/ EA Smfg,IT Professional,Any Level,N/A,Công Ty TNHH Liteon Việt Nam,Hải Phòng,$1000.00,"C#, ERP, SQL Server, Oracle, IT Phần Mềm",Vietnamworks
Fresher IT Developer,Software Developer,Fresher,N/A,Navigos Search's Client,Hà Nội,$350.00-450.00,"SQL, English",Vietnamworks
ERP Project Leader (Experienced in Garment Industry),Project Manager,Lead/Expert,8,Chi Nhánh Hà Nội - Công Ty TNHH Kiara Garments Việt Nam,Hà Nội,$1428.57-3469.39,"ERP Management, Gap Analysis, Project Planning, Restructuring, Software Implementation",Vietnamworks
Phó Phòng Hỗ Trợ Người Dùng/ IT Helpdesk Deputy Manager,IT Support,Lead/Expert,5,Công Ty TNHH TM DV Tân Hiệp Phát,Bình Dương,Thương lượng,"Information Technology, IT Helpdesk, Helpdesk, English, IT",Vietnamworks
Quality Control Supervisor,IT Professional,Junior,2,Công Ty TNHH Premo Việt Nam,Đà Nẵng,Thương lượng,"IATF 16949:2016, ISO 9001, Quality Control, Sap, Team Management",Vietnamworks
Product Manager - ERP Omnichannel,Product Manager,Lead/Expert,N/A,Abbott,Hồ Chí Minh,Thương lượng,"ERP, ERP System  Integration",Vietnamworks
Wastewater Process & Controls Engineer,Software Engineer,Intermediate,3,LR-TEK,Hồ Chí Minh,Thương lượng,"Artificial Intelligence, C Programming Language, Control System, Machine Learning, Aeration System Design",Vietnamworks
RF Engineer,Software Engineer,Junior,2,Công Ty TNHH Công Nghệ Huawei Việt Nam,Hà Nội,Thương lượng,"Database Technology, Effective Communication, Radio Design, Software System Architecture, Telecommunications",Vietnamworks
Senior Backend Developer,Backend Developer,Senior,4,Công Ty TNHH VHG DATA,Hồ Chí Minh,$1000.00-2000.00,"NodeJS, PHP, Python, MongoDB",Vietnamworks
IT Helpdesk,IT Support,Any Level,N/A,Grant Thornton (Vietnam) Limited,Hà Nội,Thương lượng,"Technical Support, Helpdesk, English, Equipment Installation, Linux",Vietnamworks
Database Administrator,Business Analyst,Junior,2,Discova (Formerly Known As Buffalo Tours),Hồ Chí Minh,$1224.49-1346.94,"Database Design, Microsoft Dynamics 365, Azure SQL, English, Microsoft SQL Server",Vietnamworks
System Engineer,Systems Engineer,Junior,2,Skylab Innogram Vietnam LLC,Hồ Chí Minh,Thương lượng,"Linux System Administration, Infrastructure-As-Code, Bash, Python",Vietnamworks
Quality Assurance Analyst,QA Engineer,Junior,1,Công Ty TNHH Công Nghệ TikTok Việt Nam,Hồ Chí Minh,Thương lượng,"Attention To Detail, English, Image Moderation, Interpersonal Skills, Quality Assurance",Vietnamworks
IT Network Engineer (Accept Fresher),Software Engineer,Fresher,N/A,HYUNDAI Kefico,Hải Dương,Thương lượng,"English, Công Nghệ Thông Tin",Vietnamworks
Odoo Developer,Software Developer,Junior,2,ILA Vietnam,Hồ Chí Minh,Thương lượng,"Odoo ERP, XML, CSS, JavaScript, Python",Vietnamworks
Data Analyst - Long An,Data Analyst,Senior,5,Công Ty TNHH Starry Vietnam,Hồ Chí Minh,$1000.00-1200.00,"Attention To Detail, Data Analysis, Excel, Power BI, Kpi Development",Vietnamworks
Digital Platform Specialist,IT Professional,Intermediate,3,Cathay United Bank,Taiwan,Thương lượng,"Agile Methodology & Scrum, Digital Banking, Digital platform operations, Fintech, User Experience Development",Vietnamworks
Kỹ Sư Chất Lượng (Thành thạo Tiếng Trung),Data Scientist,Any Level,N/A,Navigos Search's Client,Hưng Yên,$1500.00-1600.00,"Tiếng Trung, Chinese, Quản lý chất lượng, QC, RBA",Vietnamworks
"Senior Associate, Product Management, SPX Express",Data Analyst,Senior,3,CÔNG TY TNHH SPX EXPRESS,N/A,Thương lượng,"Data Analysis, Product Application, Product Delivery, Product Discovery, Technical Thinking",Vietnamworks
Senior Software Engineer & Development,Software Engineer,Senior,4,BIDV Metlife Life Insurance LLC,Hà Nội,Thương lượng,"Software Development, Software Design, Spring, Apache, ReactJS",Vietnamworks
Chuyên Viên Vận Hành Open Banking & Dịch Vụ Kết Nối - Khối CNTT,Business Analyst,Junior,2,Ngân hàng Lộc Phát Việt Nam LPBank,Hà Nội,Thương lượng,"Hệ Thống Oracle, Lập Trình SQL Server, Linux, Quản Trị Hệ Thống, Vận Hành Hệ Thống",Vietnamworks
Full-Stack Engineer - Onsite Singapore,Full-stack Developer,Junior,2,FPT Software,"Hồ Chí Minh, Hà Nội, Đà Nẵng",Thương lượng,"Full Stack Development, JavaScript, React, Backend, AWS",Vietnamworks
Senior / Lead Test Engineer (Automation & Manual),Software Engineer,Senior/Lead/Expert,3,Hitachi Digital Services,Hồ Chí Minh,$700.00-1800.00,"API Testing, Automation Testing, English Communication, Manual Testing, PL/SQL",Vietnamworks
Product Manager,Product Manager,Lead/Expert,5,Công Ty Cổ Phần Công Nghệ Sen Đỏ,Hồ Chí Minh,Thương lượng,"Agile, Phát Triển Phần Mềm, Quản Trị Dự Án, Sáng Tạo, UI/UX",Vietnamworks
