Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Chuyên viên Phân tích nghiệp vụ (Business Analyst) - Khối Công nghệ thông tin (HO24.172),business analyst,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Thương lượng,"Agile, Scrum, Android, iOS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst-khoi-cong-nghe-thong-tin-ho24-172.35C1B5C4.html
Kỹ sư hệ thống (VMware),system administrator,Junior,1,Công ty TNHH Viettel - CHT,Hà NộiHồ Chí Minh,Thương lượng,"VMware, Networking",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-he-thong-vmware.35C1B62C.html
Quản lý Nhu cầu – Trung tâm Quản trị Dự án – Khối CNTT,data analyst,Senior,7,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Thương lượng,"Excel, Power Point",Careerviet,https://careerviet.vn/vi/tim-viec-lam/quan-ly-nhu-cau-trung-tam-quan-tri-du-an-khoi-cntt.35C1B721.html
Technical Leader (strong gRPC),tech lead,Senior,5-6,HR Vietnam’s ESS Client,Hà Nội,Thương lượng,"Python, gRPC, Flask",Careerviet,https://careerviet.vn/vi/tim-viec-lam/technical-leader-strong-grpc.35C22A18.html
IT Service Supervisor,IT professional,Intermediate,3,CÔNG TY TNHH ANTA SPORTS VIỆT NAM,Hà Nội,$20.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/it-service-supervisor.35C22B19.html
Chuyên viên Phân tích Nghiệp vụ (Business Analyst),business analyst,Intermediate,2-5,Công Ty Cổ Phần Đầu Tư K&G Việt Nam,Hà Nội,$10.00,"Agile, Scrum",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst.35C22A95.html
Backend Developer,backend developer,Intermediate,3-5,Công Ty Cổ Phần Đầu Tư K&G Việt Nam,Hà Nội,$12.00,"NodeJS, Express, MySQL",Careerviet,https://careerviet.vn/vi/tim-viec-lam/backend-developer.35C22A9C.html
SAP Consultant (PP/ PM/ QM),SAP consultant,Intermediate,2-5,Công ty Cổ phần Sữa VitaDairy Việt Nam,Hồ Chí Minh,Thương lượng,SAP,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sap-consultant-pp-pm-qm.35C22C58.html
Chuyên Viên Backend Developer (Mảng Mobile App),backend developer,Junior,2,Công ty Cổ phần đầu tư phát triển máy Việt Nam,Hà Nội,$20.00,"Python, SQL, NodeJS, MongoDB, Docker, MySQL, Git, CI/CD, Kafka, RabbitMQ",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-backend-developer-mang-mobile-app.35C229C7.html
Chuyên viên Dịch vụ Hỗ trợ khách hàng CNTT,N/A,Junior,1-3,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội,Thương lượng,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-dich-vu-ho-tro-khach-hang-cntt.35C22C94.html
Product Development Supervisor,N/A,Intermediate,2-5,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Hồ Chí Minh,$20.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-development-supervisor.35C229FA.html
[CVP] Chuyên viên Phân tích dữ liệu,N/A,Any Level,N/A,Công Ty Tài Chính TNHH MB SHINSEI (MCREDIT),Hà Nội,Thương lượng,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/cvp-chuyen-vien-phan-tich-du-lieu.35C22ADB.html
Chuyên Viên Phân Tích Dữ Liệu,data scientist,Intermediate,3-4,CÔNG TY CỔ PHẦN Z HOLDING,Hà Nội,$20.00,"Python, SQL, Power BI, R",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu.35C22BB4.html
Kỹ sư lập trình PLC,backend developer,Intermediate,2-7,Tập đoàn cơ khí công nghệ cao Siba,Hồ Chí Minh,Thương lượng,"Java, .NET, PHP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-lap-trinh-plc.35C229E4.html
Kỹ sư Dữ liệu,data engineer,Intermediate,2-5,VCBS - Chung khoan VCB,Hà Nội,Thương lượng,"Python, SQL, MongoDB, Kubernetes, Azure, Hadoop, Spark",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-du-lieu.35C22AD9.html
Chuyên gia Khoa học Dữ liệu - MSB - DT - 1M470,data scientist,Senior,4-8,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,$55.00,"Python, Java, SQL, Statistics, Analysis, AWS, Azure, GCP, Pandas, NumPy, TensorFlow, Keras, PyTorch, Machine Learning, Deep Learning, AI, Agile, Scrum, HDFS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-khoa-hoc-du-lieu-msb-dt-1m470.35C22C20.html
Chuyên viên Phân tích dữ liệu (DA),data engineer,Senior,4-6,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Hà Nội,Thương lượng,"Python, Java, SQL, Tableau, Power BI, Hadoop, Spark, Big Data, Machine Learning, Data Mining, ETL, Pentaho",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-da.35C22BFC.html
Chuyên gia Phân tích Kinh doanh - MSB - DT - 1M471,data scientist,Intermediate,2-5,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,$55.00,"Python, SQL, Tableau, Power BI, Statistics, Analysis, Agile, Scrum, ETL, R",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-phan-tich-kinh-doanh-msb-dt-1m471.35C22C2A.html
Kỹ Sư Tư Vấn Giải Pháp Hệ thống/Mạng/Bảo mật,system administrator,Intermediate,2-5,Công Ty Cổ Phần Dịch vụ Công nghệ Tin Học HPT,Hà Nội,$18.00,VMware,Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-tu-van-giai-phap-he-thong-mang-bao-mat.35C229E0.html
Cộng Tác Viên Triển Khai Phần Mềm Ứng Dụng,frontend developer,Any Level,N/A,Công Ty Cổ Phần Dịch vụ Công nghệ Tin Học HPT,Hà Nội,$10.00,"Java, JavaScript, HTML, CSS, React, Flutter, React Native",Careerviet,https://careerviet.vn/vi/tim-viec-lam/cong-tac-vien-trien-khai-phan-mem-ung-dung.35C229CF.html
Cộng Tác Viên Phân Tích Nghiệp Vụ Phần Mềm(BA),N/A,Any Level,N/A,Công Ty Cổ Phần Dịch vụ Công nghệ Tin Học HPT,Hà Nội,$10.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/cong-tac-vien-phan-tich-nghiep-vu-phan-mem-ba.35C229D6.html
Cộng Tác Viên Dự Án Kiểm Thử Phần Mềm,N/A,Any Level,N/A,Công Ty Cổ Phần Dịch vụ Công nghệ Tin Học HPT,Hà Nội,$10.00,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/cong-tac-vien-du-an-kiem-thu-phan-mem.35C229D9.html
Business Analyst,business analyst,Intermediate,2-5,CÔNG TY CỔ PHẦN PERMATE GLOBAL,Đà Nẵng,$15.00,"Agile, Scrum, Figma",Careerviet,https://careerviet.vn/vi/tim-viec-lam/business-analyst.35C22B74.html
Kỹ Sư Điện Lập Trình PLC HMI,embedded systems engineer,Senior,2-10,Công Ty Cổ Phần Trực Quan,Hồ Chí MinhLong An,Thương lượng,"Python, Excel, MATLAB",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-dien-lap-trinh-plc-hmi.35C23DD5.html
