Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
Software Architect (Quantity: 01),software architect,Intermediate,3,LG Electronics R&D Vietnam,hà nội,Thương lượng,"English, Java, Automotive, Software Architecture Design, C++",Vietnamworks
SAP Logistic Consultant (Module MM / PP / SD) - Lương Thưởng Hấp Dẫn,SAP consultant,Intermediate,3,Công Ty Cổ Phần Tư Vấn Công Nghệ Ngs (Ngsc),hà nội,$1800.00,"Công Nghệ Thông Tin, IT Solutions Delivery, Sap, SAP FICO, Project Management",Vietnamworks
Chuyên Viên Back End,backend developer,Junior,2,Công Ty Cổ Phần Chứng Khoán KB Việt Nam,hà nội,$600.00,"Lập Trình Backend, Python, RESTful API, SQL, Java Spring Boot",Vietnamworks
CVCC Chính Sách và Chất Lượng Dữ Liệu - Data Policy and Quality Senior Specialist - Khối Dữ Liệu (Ho24.298),IT professional,Junior,1,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,hanoi,Thương lượng,"Bảo Mật Dữ Liệu, Phân Tích Dữ Liệu, Quản Trị Dữ Liệu, Tài chính Ngân hàng, Xây Dựng Cơ Sở Dữ Liệu",Vietnamworks
"Chuyên Viên Công Nghệ Thông Tin (Quản Lý Phần Mềm, Ứng Dụng)",data engineer,Intermediate,3,Bitexco Power Corporation,hanoi,Thương lượng,"Công Nghệ Thông Tin, NodeJS, Quản Lý Phần Mềm, SQL Server, SQL Server",Vietnamworks
IT Qc/tester (Temporary 8 Months),QA engineer,Junior,1,Công Ty TNHH Bảo Hiểm Nhân Thọ Generali Việt Nam,tp hồ chí minh,Thương lượng,"Analytical Skills, Communication Skills, Manual Testing, Quality Control",Vietnamworks
Japanese BrSE Cum Project Lead/Project Manager,project manager,Intermediate,3,"ARIS Vietnam Co., Ltd",tp.hcm,Thương lượng,"C#, Giao Tiếp Tiếng Nhật Bản, Java Web, Java Web, Java Web, Java Web, Phát Triển Ứng Dụng Web, Quản Lý Dự Án",Vietnamworks
SAP Senior Consultant - SAP FI,SAP consultant,Any Level,N/A,Deloitte Consulting SEA,hcmc,Thương lượng,"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations",Vietnamworks
"Nhân Viên Kỹ Thuật (Lĩnh vực CCTV, Camera, IT,...)",IT professional,Any Level,N/A,Công Ty Cổ Phần Nhà An Toàn,"hà nội, hcm, hồ chí minh",$408.00,"CCNA, CCNP, MCSA",Vietnamworks
IT Security Engineer Cybersecurity & Networks,security engineer,Any Level,N/A,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,tp.hcm,$600.00,"Network Security, System Security Management, Application Security Assessment, CEH, CISSP",Vietnamworks
Senior UI/UX Developer,software developer,Intermediate,3,MAMABOX CORPORATION (VIETNAM) Company Limited,thành phố hồ chí minh,$1500.00,"HTML5, CSS3, JavaScript, PrestaShop, Effective Communication",Vietnamworks
CRM System and Infrastructure Manager,data engineer,Senior,5,Abbott,hcm,Thương lượng,"Systems Integration, CRM Development, Infrastructure, IT Infrastructure Management, SQL",Vietnamworks
Back-end Developer,backend developer,Any Level,N/A,GSM,hà nội,$1000.00,"Java, C#, Back-end Programming, API, .NET",Vietnamworks
