Job Title,Role,Level,Company,Year Of Experiences,Location,Salary Range,Required Skills,Source Platform
Ecommerce Conversion Rate Optimization Manager,Ecommerce Conversion Rate Optimization Manager,N/A,Maison Retail Management International,3 năm kinh nghiệm,"189 Dương Bá Trạc, phường 1, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Data Analysis, A/B Testing, Ecommerce Platforms, Google Analytics, User Research",https://www.vietnamworks.com/ecommerce-conversion-rate-optimization-manager-1842310-jv?source=searchResults&searchType=2&placement=1842410&sortBy=date
Chuyên Viên IT Hạ Tầng,Chuyên Viên IT Hạ Tầng,N/A,Công Ty Cổ Phần Tập Đoàn Thái Bình Dương,1 năm kinh nghiệm,"Tầng 9 số 25 Lý Thường Kiệt, P. Phan Chu Trinh, Q. Hoàn Kiếm, Hà Nội",10tr-15tr ₫/tháng,"CCNA, Cisco, Cisco, Hệ điều hành Linux, Network, Quản Trị Mạng",https://www.vietnamworks.com/chuyen-vien-it-ha-tang-1838775-jv?source=searchResults&searchType=2&placement=1839425&sortBy=date
Chuyên Viên Vận Hành ERP – Phân Hệ Báo Cáo Quản Trị (Pbi),Chuyên Viên Vận Hành ERP – Phân Hệ Báo Cáo Quản Trị Pbi,N/A,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí",3 năm kinh nghiệm,"Tầng 17 tòa nhà Icon4 số 243A Đê La Thành, Láng Thượng, Đống Đa, Hà Nội",350tr-500tr ₫/năm,"VAS, Tài Chính Kế Toán, Kế toán quản trị, Triển Khai Hệ Thống, SAP BW/4HANA",https://www.vietnamworks.com/chuyen-vien-van-hanh-erp-phan-he-bao-cao-quan-tri-pbi-1840736-jv?source=searchResults&searchType=2&placement=1840736&sortBy=date
Chuyên Viên Kiểm Toán Công Nghệ Thông Tin,Chuyên Viên Kiểm Toán Công Nghệ Thông Tin,N/A,Ngân hàng Lộc Phát Việt Nam LPBank,4 năm kinh nghiệm,"LPB Tower, số 210 Đường Trần Quang Khải, French Quarter, Trang Tien, Hoàn Kiếm, Hanoi, Vietnam",Thương lượng,"Kế Toán, Ngân hàng, Phân Tích Dữ Liệu, Quản Lý",https://www.vietnamworks.com/chuyen-vien-kiem-toan-cong-nghe-thong-tin-1840930-jv?source=searchResults&searchType=2&placement=1841380&sortBy=date
Business Analyst for E-commerce project,Business Analyst for E-commerce project,N/A,Navigos Search's Client,3 năm kinh nghiệm,Hanoi,25tr-40tr ₫/tháng,"Business Analysis, Communication, Documentation, Documentation, Documentation, Requirement Analysis, Stakeholder Management",https://www.vietnamworks.com/business-analyst-for-e-commerce-project-1842021-jv?source=searchResults&searchType=2&placement=1842671&sortBy=date
Security Executive,Security Executive,N/A,BAT Vietnam,3 năm kinh nghiệm,N/A,Thương lượng,"Crisis Management, English Fluency, Security Management, Stakeholder Management, Law Enforcement Experience",https://www.vietnamworks.com/security-executive-1840569-jv?source=searchResults&searchType=2&placement=1841069&sortBy=date
Customer Service Specialist,Customer Service Specialist,N/A,TREND NETWORK TECHNOLOGY SDN BHD,1 năm kinh nghiệm,N/A,"$ 500-1,500 /tháng","Customer Excellence, Customer needs assessment, Customer Solution, English fluency, Overseas Trading",https://www.vietnamworks.com/customer-service-specialist-1840240-jv?source=searchResults&searchType=2&placement=1840740&sortBy=date
HO - Data Engineer (ETL Specialist),HO - Data Engineer ETL Specialist,N/A,Ngân Hàng TMCP Á Châu (ACB),2 năm kinh nghiệm,"442 Nguyễn Thị Minh Khai, Phuờng 5, Quận 3, Thành phố Hồ Chí Minh",Thương lượng,"Oracle, SQL, ETL, Data Warehouse Systems, Data Engineer",https://www.vietnamworks.com/ho-data-engineer-etl-specialist--1837380-jv?source=searchResults&searchType=2&placement=1837780&sortBy=date
Kỹ Sư Phát Triển Ứng Dụng (Application Developer),Kỹ Sư Phát Triển Ứng Dụng Application Developer,N/A,Công Ty TNHH Công Nghệ Niềm Tin - Truetechnology,1 năm kinh nghiệm,"F1009, tầng 10, tòa nhà Charm Vit, 117 Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội",Thương lượng,"C#, Python, JavaScript, Vue.js",https://www.vietnamworks.com/ky-su-phat-trien-ung-dung-application-developer--1838768-jv?source=searchResults&searchType=2&placement=1839418&sortBy=date
Chuyên Viên Hỗ Trợ Nghiệp Vụ SAP (Master Data),Chuyên Viên Hỗ Trợ Nghiệp Vụ SAP Master Data,N/A,Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc,Không yêu cầu năm kinh nghiệm,"Số 777 - Đường Mê Linh, Phường Khai Quang, Thành phố Vĩnh Yên, Tỉnh Vĩnh Phúc",Thương lượng,"Excel, Hỗ Trợ Tín Dụng, SAP, VBA Excel, VBA Excel, Công nghệ thông tin",https://www.vietnamworks.com/chuyen-vien-ho-tro-nghiep-vu-sap-master-data-1844132-jv?source=searchResults&searchType=2&placement=1844532&sortBy=date
Kỹ Sư IT,Kỹ Sư IT,N/A,Công Ty TNHH Liteon Việt Nam,Không yêu cầu năm kinh nghiệm,"Số 149, đường 10, Khu công nghiệp VSIP Hải Phòng","Tới $ 1,000 /tháng","IT Infrastructure Management, IT Helpdesk, Information Technology, Oracle, SQL Server",https://www.vietnamworks.com/ky-su-it--1843000-jv?source=searchResults&searchType=2&placement=1843050&sortBy=date
QA Engineer,QA Engineer,N/A,Cathay United Bank,2 năm kinh nghiệm,"Taipei, Taiwan",Thương lượng,"Automation Testing, Manual Testing, Test Case Extraction, Testing iOS, Unit Testing",https://www.vietnamworks.com/qa-engineer-1839451-jv?source=searchResults&searchType=2&placement=1839901&sortBy=date
Tester - Khối Dữ Liệu (Ho24.295),Tester - Khối Dữ Liệu Ho24.295,N/A,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,1 năm kinh nghiệm,"19th – MB Building,18 Le Van Luong Str., Cau Giay Dist. Hanoi, Vietnam",Thương lượng,"Bug Tracking, Công Nghệ Thông Tin, SQL, Test Cases, Test Planning",https://www.vietnamworks.com/tester-khoi-du-lieu-ho24-295-1842180-jv?source=searchResults&searchType=2&placement=1842280&sortBy=date
Java Backend Developer,Java Backend Developer,N/A,Cathay United Bank,5 năm kinh nghiệm,"Taipei, Taiwan",Thương lượng,"Agile Scrum, AWS Cloud services, Java Programming, Java Programming, RESTful API Design, Spring Boot Framework, Spring Boot Framework",https://www.vietnamworks.com/java-backend-developer-1839444-jv?source=searchResults&searchType=2&placement=1839644&sortBy=date
IT Infrastructure Network & Security Executive,IT Infrastructure Network & Security Executive,N/A,Công Ty TNHH Aeon Việt Nam,2 năm kinh nghiệm,"30 Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh",Thương lượng,"ITIL Security Management, Security System Management, Bảo Mật Thông Tin, Cybersecurity Awareness, Cyber Security",https://www.vietnamworks.com/it-infrastructure-network-security-executive--1843658-jv?source=searchResults&searchType=2&placement=1844158&sortBy=date
Solution Architect (Good French),Solution Architect Good French,N/A,FPT Software,Không yêu cầu năm kinh nghiệm,"[HCM]Lô T2, đường D1, khu Công nghệ cao, Quận 9, Tp.Hồ Chí Minh; [HN]Tòa nhà FPT, 17 Duy Tân, Cầu Giấy, Hà Nội; [DN] Tòa Nhà FPT Complex, Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, TP Đà Nẵng",Thương lượng,"French, Solution Architecture, Computer Science, Java, AWS",https://www.vietnamworks.com/solution-architect-good-french-1842880-jv?source=searchResults&searchType=2&placement=1842880&sortBy=date
"Associate, IT/ IS","Associate, IT/ IS",N/A,NAB Innovation Centre Vietnam,2 năm kinh nghiệm,"Tòa nhà The Hallmark, Đường Trần Bạch Đằng, P. Phú Thuận, An Khánh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"IT Helpdesk, Infrastructure Security, LAN, Windows Operating Systems, Mac",https://www.vietnamworks.com/associate-it-is-1837889-jv?source=searchResults&searchType=2&placement=1837889&sortBy=date
Application Support Specialist,Application Support Specialist,N/A,MiTek Việt Nam,2 năm kinh nghiệm,"Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, P. Tân Thuận Đông, Quận 7, TP.HCM",Thương lượng,"Technical Support, Network Administration, Application Support, VMware",https://www.vietnamworks.com/application-support-specialist--1842881-jv?source=searchResults&searchType=2&placement=1843481&sortBy=date
Senior Data Analyst (Experienced in Finance),Senior Data Analyst Experienced in Finance,['Senior'],Fiingroup,Không yêu cầu năm kinh nghiệm,"Level 10, Peakview Tower, 36 Hoang Cau, Dong Da, Ha Noi","$ 800-1,500 /tháng","Python, Data Analysis, Business Intelligence, SQL, Data Monitoring",https://www.vietnamworks.com/senior-data-analyst-experienced-in-finance-1843849-jv?source=searchResults&searchType=2&placement=1844299&sortBy=date
UI/UX Designer,UI/UX Designer,N/A,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ THÔNG MINH SMART TECH,3 năm kinh nghiệm,N/A,"$ 800-1,600 /tháng","Axure RP, Prototype, UI - UX, Design",https://www.vietnamworks.com/uiux-designer-1831778-jv?source=searchResults&searchType=2&placement=1832178&sortBy=date
Pentest (Open for Fresher),Pentest Open for Fresher,['Fresher'],Tổng Công Ty Bưu Điện Việt Nam - Vnpost,Không yêu cầu năm kinh nghiệm,"Số 5, Phạm Hùng, Nam Từ Liêm, Hà Nội","500-1,100 ₫/tháng","NIST, OWASP, Nmap, Wireshark, Metasploit",https://www.vietnamworks.com/pentest-open-for-fresher-1843045-jv?source=searchResults&searchType=2&placement=1843645&sortBy=date
Nhân Viên Quản Trị Hệ Thống và Hỗ Trợ Người Dùng,Nhân Viên Quản Trị Hệ Thống và Hỗ Trợ Người Dùng,N/A,Công Ty Cổ Phần Địa Ốc Phú Long,3 năm kinh nghiệm,"PVGas Tower, 673 Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè, TP.HCM",Thương lượng,"Hệ Thống Quản Trị Mạng, CCNA, Công nghệ thông tin, System Administration",https://www.vietnamworks.com/nhan-vien-quan-tri-he-thong-va-ho-tro-nguoi-dung-1840548-jv?source=searchResults&searchType=2&placement=1841048&sortBy=date
QA Tester (Korean Speaking),QA Tester Korean Speaking,N/A,Snow Việt Nam,Không yêu cầu năm kinh nghiệm,"The Sentry P, 5th Floor (16 Đ. Nguyễn Đăng Giai, Street, Ward, District 2, Ho Chi Minh City)",Từ $ 560 /tháng,"QA, Test Cases, Software Testing, Korean Language, Quality Control",https://www.vietnamworks.com/qa-tester-korean-speaking--1839136-jv?source=searchResults&searchType=2&placement=1839586&sortBy=date
Kỹ Sư Hạ Tầng & Hỗ Trợ Công Nghệ Thông Tin,Kỹ Sư Hạ Tầng & Hỗ Trợ Công Nghệ Thông Tin,N/A,Công Ty CP Intellife,3 năm kinh nghiệm,N/A,Thương lượng,"Giải Quyết Vấn Đề, MongoDB, PostgreSQL, Python, VMware",https://www.vietnamworks.com/ky-su-ha-tang-and-ho-tro-cong-nghe-thong-tin-1841931-jv?source=searchResults&searchType=2&placement=1842281&sortBy=date
Technical Support Engineer,Technical Support Engineer,N/A,Công Ty TNHH Servers.com VN,1 năm kinh nghiệm,Công Ty TNHH Servers.com VN,Thương lượng,"Technical Support, System Administration, IT System Administration, Linux, Business English",https://www.vietnamworks.com/technical-support-engineer--1837282-jv?source=searchResults&searchType=2&placement=1837682&sortBy=date
"Hardware Design Engineer (Làm việc chủ yếu tại Nam Từ Liêm, Hà Nội)","Hardware Design Engineer Làm việc chủ yếu tại Nam Từ Liêm, Hà Nội",N/A,Công Ty TNHH Varroc Việt Nam,3 năm kinh nghiệm,"Lô 24+25 KCN Quang Minh, Mê Linh, Hà Nội",Thương lượng,"System Design, PCB Layout Design, OrCAD, Altium, Altium, SMT",https://www.vietnamworks.com/hardware-design-engineer-lam-viec-chu-yeu-tai-nam-tu-liem-ha-noi-1836033-jv?source=searchResults&searchType=2&placement=1836233&sortBy=date
Software Engineering ( Lương 1200$ ~1600$ ),Software Engineering Lương 1200$ ~1600$,N/A,Công Ty TNHH Cresyn Hà Nội,3 năm kinh nghiệm,"Tầng 3, tòa N04B-T1, Khu ngoại giao đoàn, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội","$ 1,200-1,600 /tháng","Software Engineering, Lập Trình Nhúng, Lập Trình Ứng Dụng, lập trình C/C++, SQL",https://www.vietnamworks.com/software-engineering-luong-1200-1600-1842596-jv?source=searchResults&searchType=2&placement=1842846&sortBy=date
Technical Product Manager - Power Platform Development and Governance,Technical Product Manager - Power Platform Development and Governance,N/A,Bosch Global Software Technologies Company Limited,Không yêu cầu năm kinh nghiệm,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Software Engineering, Information System, English, Full Stack Development, Product Management",https://www.vietnamworks.com/technical-product-manager-power-platform-development-and-governance--1836946-jv?source=searchResults&searchType=2&placement=1837346&sortBy=date
"Officer, IT Operations","Officer, IT Operations",N/A,Techcombank,2 năm kinh nghiệm,"Head Office: 6 Quang Trung Street, Hoan Kiem District, Hanoi","$ 1,000-2,500 /tháng","Banking, Network Security, AIX, Linux, Cloud",https://www.vietnamworks.com/officer-it-operations-1837734-jv?source=searchResults&searchType=2&placement=1837784&sortBy=date
Kỹ Sư Phát Triển Phần Mềm (Upto 30Tr),Kỹ Sư Phát Triển Phần Mềm Upto 30Tr,N/A,Công Ty Cổ Phần Coasia CM Vina,3 năm kinh nghiệm,"KCN Lương Sơn, Km 36, QL6, xã Hòa Sơn, huyện Lương Sơn, Tỉnh Hòa Bình","Tới $ 1,178 /tháng",".NET, Java, PHP, Python, C++",https://www.vietnamworks.com/ky-su-phat-trien-phan-mem-upto-30tr-1836205-jv?source=searchResults&searchType=2&placement=1836705&sortBy=date
Lập Trình Viên Java Backend - Backend Developer (Java) - Khối Ngân Hàng Số (Ho24.293),Lập Trình Viên Java Backend - Backend Developer Java - Khối Ngân Hàng Số Ho24.293,N/A,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,3 năm kinh nghiệm,"19th – MB Building,18 Le Van Luong Str., Cau Giay Dist. Hanoi, Vietnam",Thương lượng,"Backend, Cloud Services, Java Framework, RESTful API Design, Backend",https://www.vietnamworks.com/lap-trinh-vien-java-backend-backend-developer-java-khoi-ngan-hang-so-ho24-293-1842183-jv?source=searchResults&searchType=2&placement=1842533&sortBy=date
Microservice Backend Developer - Java,Microservice Backend Developer - Java,N/A,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ THÔNG TIN HOÀNG HUY,4 năm kinh nghiệm,"193/42 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Java, Cloud Development, Lập Trình Backend, Technical Lead, SpringMVC",https://www.vietnamworks.com/microservice-backend-developer-java-1823607-jv?source=searchResults&searchType=2&placement=1824157&sortBy=date
"[HN] Data Scientist (Data Analyst, Python/java/scala)","HN Data Scientist Data Analyst, Python/java/scala",N/A,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Công Nghệ Velacorp,2 năm kinh nghiệm,"Tầng 5, Tòa nhà Viglacera, Số 1 Đại Lộ Thăng Long, Nam Từ Liêm, Hà Nội",Thương lượng,"Machine Learning, Deep Learning, PyTorch, RDBMS, Data analysis",https://www.vietnamworks.com/hn-data-scientist-data-analyst-python-java-scala-1839303-jv?source=searchResults&searchType=2&placement=1839853&sortBy=date
Data Analyst - Khối Dữ Liệu (Ho24.294),Data Analyst - Khối Dữ Liệu Ho24.294,N/A,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,2 năm kinh nghiệm,"19th – MB Building,18 Le Van Luong Str., Cau Giay Dist. Hanoi, Vietnam",Thương lượng,"Data Analysis, Data Cleaning, Data Transformation, Khoa Học Dữ Liệu, Phân Tích Dữ Liệu",https://www.vietnamworks.com/data-analyst-khoi-du-lieu-ho24-294-1842182-jv?source=searchResults&searchType=2&placement=1842532&sortBy=date
IT PMO Manager [ Banking/ Finance/securities ],IT PMO Manager Banking/ Finance/securities,N/A,GTV VIETNAM,5 năm kinh nghiệm,N/A,Thương lượng,"Agile, Banking Product, Leadership, Project Management",https://www.vietnamworks.com/it-pmo-manager-banking-financesecurities-1842368-jv?source=searchResults&searchType=2&placement=1842668&sortBy=date
Chuyên viên hỗ trợ vận hành SAP LOG (tối thiểu 1 năm kinh nghiệm PP),Chuyên viên hỗ trợ vận hành SAP LOG tối thiểu 1 năm kinh nghiệm PP,N/A,Công Ty Cổ Phần Quốc Tế Sơn Hà,1 năm kinh nghiệm,"Tòa nhà Capital Place - 29 Liễu Giai, Ba Đình, Hà Nội","$ 1,000-2,000 /tháng","ABAP, ERP, Sap Mm, SAP PP, Sap Sd",https://www.vietnamworks.com/chuyen-vien-ho-tro-van-hanh-sap-log-toi-thieu-1-nam-kinh-nghiem-pp-1824178-jv?source=searchResults&searchType=2&placement=1824528&sortBy=date
[Hà Nội] Fullstack Developer (Senior),Hà Nội Fullstack Developer Senior,['Senior'],Công Ty Cổ Phần Khoa Học Dữ Liệu,3 năm kinh nghiệm,"Tòa HH2 Yên Hòa, Dương Đình Nghệ, Cầu Giấy, Hà Nội",Tới 50tr ₫/tháng,"Full Stack Development, Python, JavaScript, Django",https://www.vietnamworks.com/ha-noi-fullstack-developer-senior-1834192-jv?source=searchResults&searchType=2&placement=1834392&sortBy=date
Lập Trình Android Java Kotlin - Mobile App Developer,Lập Trình Android Java Kotlin - Mobile App Developer,N/A,Công Ty Phần Mềm Tower Hanoi (Tohsoft),3 năm kinh nghiệm,Toà Nhà Viwaseen - 48 Tố Hữu - Từ Liêm - Hà Nội,"$ 1,000-1,800 /tháng","Android, Android Studio, Kotlin, Java/Kotlin, Kotlin Android",https://www.vietnamworks.com/lap-trinh-android-java-kotlin-mobile-app-developer-1-1--1837853-jv?source=searchResults&searchType=2&placement=1837903&sortBy=date
IT Helpdesk,IT Helpdesk,N/A,Chi Nhánh Olam Global Agri Việt Nam Tại Đồng Tháp,1 năm kinh nghiệm,"Lô III-6, Khu C mở rộng, Khu công nghiệp Sa Đéc, Xã Tân Khánh Đông, Thành phố Sa Đéc, Tỉnh Đồng Tháp",$ 350-500 /tháng,"Công Nghệ Thông Tin, IT System Administration, IT Operations, IT Helpdesk, IT",https://www.vietnamworks.com/it-helpdesk--1841404-jv?source=searchResults&searchType=2&placement=1841854&sortBy=date
QCTP (Quality Control Training Program),QCTP Quality Control Training Program,N/A,"CyberLogitec Vietnam Co., Ltd.",Không yêu cầu năm kinh nghiệm,"SCETPA Building, 19A Cong Hoa Street, Ward 12, Tan Binh District, Ho Chi Minh City",Thương lượng,"Automation Testing, Manual Testing, Agile Methodology, Logical Thinking, Software Testing",https://www.vietnamworks.com/qctp-quality-control-training-program-1843377-jv?source=searchResults&searchType=2&placement=1843927&sortBy=date
"Nhân Sự Phát Triển Sản Phẩm Cloud, Software Defined Infra","Nhân Sự Phát Triển Sản Phẩm Cloud, Software Defined Infra",N/A,Công Ty Cổ Phần Phân Phối Quốc Tế,2 năm kinh nghiệm,"R1-11-10, Tầng 11, Tháp R1, Tòa nhà EverRich, 968 đường 3 tháng 2, Phường 15, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Software Development, C#, Linux, Cloud, software",https://www.vietnamworks.com/nhan-su-phat-trien-san-pham-cloud-software-defined-infra-1826139-jv?source=searchResults&searchType=2&placement=1826639&sortBy=date
Legal Executive,Legal Executive,N/A,Got It,3 năm kinh nghiệm,"9-11 Nguyễn Văn Thủ, P. Đa Kao, Quận 1, TP. Hồ Chí Minh",$ 600-800 /tháng,"Bilingual Proficiency, Contract Management, Corporate Law, Legal Compliance, Negotiation",https://www.vietnamworks.com/legal-executive-1839922-jv?source=searchResults&searchType=2&placement=1840272&sortBy=date
Nhân Viên Truyền Dẫn,Nhân Viên Truyền Dẫn,N/A,Công Ty Cổ Phần Tư Vấn Chuyển Giao Công Nghệ ITC,1 năm kinh nghiệm,"Số 10, ngõ 81 phố Linh Lang, phường Cống Vị, quận Ba Đình, Hà Nội",9tr-15tr ₫/tháng,"Truyền Dẫn Quang, Công nghệ thông tin, Kĩ Thuật Mạng, Thiết Kế Truyền Dẫn, SLA",https://www.vietnamworks.com/nhan-vien-truyen-dan-1824704-jv?source=searchResults&searchType=2&placement=1825104&sortBy=date
Distribution Compensation and Benefits (Up to Supervisor),Distribution Compensation and Benefits Up to Supervisor,N/A,Phú Hưng Life,1 năm kinh nghiệm,"Tầng 5, CR3 – 05A, 109 Tôn Dật Tiên, Phường Tân Phú, Quận 7, TP.HCM",Thương lượng,"Lập Trình Ứng Dụng VBA, SQL",https://www.vietnamworks.com/distribution-compensation-and-benefits-up-to-supervisor-1840691-jv?source=searchResults&searchType=2&placement=1841191&sortBy=date
Senior Account Manager - Data Center,Senior Account Manager - Data Center,['Senior'],VNG Corporation,5 năm kinh nghiệm,"VNG Campus, Khu chế xuất Tân Thuận, Quận 7",Thương lượng,"Data Center Management, Sales, B2B Sales, technology transformation, SaaS",https://www.vietnamworks.com/senior-account-manager-data-center-1840139-jv?source=searchResults&searchType=2&placement=1840239&sortBy=date
Embedded Test Lead (Joining Bonus),Embedded Test Lead Joining Bonus,N/A,Bosch Global Software Technologies Company Limited,5 năm kinh nghiệm,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Analytical skills, English communication, Embedded Test Lead, Automation system test, SW process test",https://www.vietnamworks.com/embedded-test-lead-joining-bonus-1837681-jv?source=searchResults&searchType=2&placement=1837731&sortBy=date
Web Developer,Web Developer,N/A,Công Ty TNHH Xsunt,2 năm kinh nghiệm,"Phòng 907 tòa nhà Miss Áo Dài, 21 Nguyễn Trung Ngạn, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh, Việt Nam","$ 1,000-1,500 /tháng","HTML5, CSS3, Website Development, JavaScript, Front-End",https://www.vietnamworks.com/web-developer-309--1842378-jv?source=searchResults&searchType=2&placement=1842978&sortBy=date
Chuyên Gia Bảo Mật (Security Expert),Chuyên Gia Bảo Mật Security Expert,N/A,FPT Telecom,5 năm kinh nghiệm,"Tòa FPT Tower, Số 10 Phạm Văn Bạch, Yên Hòa, Cầu Giấy, Hà Nội",Thương lượng,"An Toàn Thông Tin, Bảo Mật Thông Tin, Xử Lý Sự Cố, Đánh Giá Bảo Mật",https://www.vietnamworks.com/chuyen-gia-bao-mat-security-expert-1831279-jv?source=searchResults&searchType=2&placement=1831279&sortBy=date
Trưởng Phòng Kỹ Thuật Voip/sip Trunk (Thu Nhập ~ 500Tr/ Năm),Trưởng Phòng Kỹ Thuật Voip/sip Trunk Thu Nhập ~ 500Tr/ Năm,N/A,Công Ty Cổ Phần Công Nghệ Consortio Việt Nam,5 năm kinh nghiệm,"Tầng 14, Tòa nhà Thăng Long Tower, số 98A, phố Nguỵ Như Kon Tum, Quận Thanh Xuân, Thành phố Hà Nội",300tr-500tr ₫/năm,"Thiết Kế Hệ Thống Sip Trunk, Cơ Sở Dữ Liệu SQL Server, JavaScript, Lập Trình, MySQL Server",https://www.vietnamworks.com/truong-phong-ky-thuat-voip-sip-trunk-thu-nhap-500tr-nam-1826686-jv?source=searchResults&searchType=2&placement=1826836&sortBy=date
Software Engineering Product Quality (SW-EPQ),Software Engineering Product Quality SW-EPQ,N/A,Bosch Global Software Technologies Company Limited,3 năm kinh nghiệm,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Analytical Skills, Communication Skills, Problem-solving, Quality Management System, Software Engineering",https://www.vietnamworks.com/software-engineering-product-quality-sw-epq-1843835-jv?source=searchResults&searchType=2&placement=1844285&sortBy=date
Kỹ Sư Phát Triển Giao Thức Mạng,Kỹ Sư Phát Triển Giao Thức Mạng,N/A,Tổng Công Ty Công Nghiệp Công Nghệ Cao Viettel (VHT),3 năm kinh nghiệm,"Tòa nhà Viettel, Số 380 Lạc Long Quân, Tây Hồ, Hà Nội","$ 700-2,200 /tháng","C++, Công nghệ thông tin, Streaming",https://www.vietnamworks.com/ky-su-phat-trien-giao-thuc-mang-1840938-jv?source=searchResults&searchType=2&placement=1841388&sortBy=date
Nhân Viên Lập Trình PC,Nhân Viên Lập Trình PC,N/A,CÔNG TY TRÁCH NHIỆM HỮU HẠN TOP ENGINEERING VINA,3 năm kinh nghiệm,Vĩnh Phúc,Thương lượng,"Lập Trình C++, Visual Studio, Công Nghệ Máy Tính, Motion Control, Tự Động Hóa",https://www.vietnamworks.com/nhan-vien-lap-trinh-pc-1830644-jv?source=searchResults&searchType=2&placement=1830844&sortBy=date
Solution Architect SA / Technical Lead TL ( Bank / Fintech ),Solution Architect SA / Technical Lead TL Bank / Fintech,N/A,GTV VIETNAM,3 năm kinh nghiệm,N/A,Thương lượng,"Cloud Software, Java Spring Framework, Leadership, Microservices, Solution Architecture",https://www.vietnamworks.com/solution-architect-sa-technical-lead-tl-bank-fintech-1837369-jv?source=searchResults&searchType=2&placement=1837669&sortBy=date
Kỹ Sư Phần Mềm - PLC Tự Động Hóa,Kỹ Sư Phần Mềm - PLC Tự Động Hóa,N/A,Công Ty Cổ Phần Giải Pháp Và Chế Tạo Máy Dynamic,3 năm kinh nghiệm,ha noi,13tr-16tr ₫/tháng,"Lập Trình PLC, C#, Visual Studio, Thiết Kế Giao Diện Phần Mềm, Thiết Kế Tự Động Hóa",https://www.vietnamworks.com/ky-su-phan-mem-plc-tu-dong-hoa--1844332-jv?source=searchResults&searchType=2&placement=1844732&sortBy=date
Manual Tester,Manual Tester,N/A,Công Ty TNHH Timind,2 năm kinh nghiệm,"Tòa Fafim, 19 Nguyễn Trãi, Khương Trung, Thanh Xuân, Hà Nội","$ 500-1,000 /tháng","Manual Testing, Automation Testing, MySQL, QC",https://www.vietnamworks.com/manual-tester--1843730-jv?source=searchResults&searchType=2&placement=1844230&sortBy=date
"Analyst, Business Analyst","Analyst, Business Analyst",N/A,Công Ty TNHH Bảo Hiểm Shinhan Life Việt Nam,Không yêu cầu năm kinh nghiệm,"Tầng 20, Tòa nhà Friendship, 31 Lê Duẩn, Phường Bến Nghé, Quận 1, TPHCM","$ 1,000-1,500 /tháng","Data Analysis, Business Analysis, Agile",https://www.vietnamworks.com/analyst-business-analyst--1838316-jv?source=searchResults&searchType=2&placement=1838616&sortBy=date
Business Solution Assistant Manager,Business Solution Assistant Manager,N/A,PepsiCo Foods Vietnam Company,Không yêu cầu năm kinh nghiệm,"No. 3-4-5 Lot CN2, Street No. 2, Song Than 3 IP, Thu Dau Mot City, Binh Duong",Thương lượng,"Sales Management, Business Development",https://www.vietnamworks.com/business-solution-assistant-manager-1840267-jv?source=searchResults&searchType=2&placement=1840767&sortBy=date
Nhân Viên IT,Nhân Viên IT,N/A,Công Ty Cổ Phần Thép Hòa Phát Hải Dương,1 năm kinh nghiệm,Phường Hiệp Sơn- Thị xã Kinh Môn- Tỉnh Hải Dương- Việt Nam,12tr-14tr ₫/tháng,"Vận Hành Máy Chủ, Quản Trị Hệ Thống Mạng, MES, Linux, Vận Hành Hệ Thống Mạng",https://www.vietnamworks.com/nhan-vien-it--1837985-jv?source=searchResults&searchType=2&placement=1838385&sortBy=date
DevOps Engineer,DevOps Engineer,N/A,Hitachi Digital Services,2 năm kinh nghiệm,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12","$ 1,500-3,000 /tháng","AWS Cloud services, Azure Cloud Services, Ci/Cd Methodologies, Cloud Infrastructure, DevOps",https://www.vietnamworks.com/devops-engineer-1837035-jv?source=searchResults&searchType=2&placement=1837235&sortBy=date
