Job Title,Role,Level,Company,Year Of Experiences,Location,Salary Range,Required Skills,Source Platform
Nhân Viên Kỹ Thuật IT,Nhân Viên Kỹ Thuật IT,N/A,Công Ty Cổ Phần Đầu Tư Và Công Nghệ OSB (Osb Jsc.),1 năm kinh nghiệm,"Trụ sở chính: Tầng 6, 7 tòa nhà Detech Tower, số 8 Tôn Thất Thuyết, Mỹ Đình, Nam Từ Liêm, Hà Nội                        Vp.tại Hồ Chí Minh: Phòng 1001, lầu 10 tòa nhà Vina Giầy, 180-182 Lý Chính Thắng, Phường 9, Quận 3, Hồ Chí Minh",Thương lượng,"Python, Kỹ Thuật Phần Mềm, Tiếng Anh, Quản Trị Hệ Thống, Giải Pháp Kỹ Thuật",https://www.vietnamworks.com/nhan-vien-ky-thuat-it--1845071-jv?source=searchResults&searchType=2&placement=1845371&sortBy=date
Chuyên Viên Phân Tích Nghiệp Vụ Trực Tuyến,Chuyên Viên Phân Tích Nghiệp Vụ Trực Tuyến,N/A,Công Ty Cổ Phần Chứng Khoán SSI,3 năm kinh nghiệm,1C Ngô Quyền - Hoàn Kiếm - Hà Nội,Thương lượng,"business analyst, Chứng khoán, Công nghệ thông tin, Phân Tích Nghiệp Vụ, Phân Tích Nghiệp Vụ Tài Chính",https://www.vietnamworks.com/chuyen-vien-phan-tich-nghiep-vu-truc-tuyen-1840991-jv?source=searchResults&searchType=2&placement=1841291&sortBy=date
DEV AI,DEV AI,N/A,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,2 năm kinh nghiệm,"Tầng 6 - Zodiac, 19 Duy Tân, Cầu Giấy, Hà Nội","$ 1,000-3,000 /tháng","DevOps, AI",https://www.vietnamworks.com/dev-ai-1838651-jv?source=searchResults&searchType=2&placement=1838651&sortBy=date
.Net Developer,.Net Developer,N/A,FPT Software,Không yêu cầu năm kinh nghiệm,"[HCM]Lô T2, đường D1, khu Công nghệ cao, Quận 9, Tp.Hồ Chí Minh; [HN]Tòa nhà FPT, 17 Duy Tân, Cầu Giấy, Hà Nội; [DN] Tòa Nhà FPT Complex, Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, TP Đà Nẵng",Thương lượng,"CI/CD, .NET, C#, SQL, Java",https://www.vietnamworks.com/net-developer--1840125-jv?source=searchResults&searchType=2&placement=1840225&sortBy=date
Kỹ Sư Lập Trình Nhúng (Có Xe Đưa Đón Nhân Viên Hà Nội - Bắc Ninh),Kỹ Sư Lập Trình Nhúng Có Xe Đưa Đón Nhân Viên Hà Nội - Bắc Ninh,N/A,Công Ty Cổ Phần Thiết Bị Đo Điện EMIC,Không yêu cầu năm kinh nghiệm,"Nhà máy sản xuất: Khu công nghiệp Đại Đồng- Hoàn Sơn, Tiên Du, Bắc Ninh",Thương lượng,"Linux, Embedded, Software Technology, Tiếng Anh, IoT",https://www.vietnamworks.com/ky-su-lap-trinh-nhung-co-xe-dua-don-nhan-vien-ha-noi-bac-ninh-1836024-jv?source=searchResults&searchType=2&placement=1836624&sortBy=date
Foxconn Bắc Giang Tuyển Gấp Kỹ Sư TE (Test Engineer),Foxconn Bắc Giang Tuyển Gấp Kỹ Sư TE Test Engineer,N/A,Công Ty TNHH Công Nghệ Chính Xác Fuyu,Không yêu cầu năm kinh nghiệm,"Khu công nghiệp Quang Châu, Huyện Việt Yên, Bắc Giang","$ 500-1,200 /tháng","Python, Lập Trình C++, Test, PCBA, Điện tử",https://www.vietnamworks.com/foxconn-bac-giang-tuyen-gap-ky-su-te-test-engineer--1844770-jv?source=searchResults&searchType=2&placement=1844870&sortBy=date
Business Intelligence Manager,Business Intelligence Manager,N/A,Công Ty Cổ Phần Giải Pháp Thanh Toán Số (MFast),5 năm kinh nghiệm,Lầu 2 Tòa nhà Athena 146-148 Cộng Hòa Phường 12 Tân Bình HCM,Thương lượng,"BI Tools, Business Intelligence, Data Analysis, Data Visualization, SQL",https://www.vietnamworks.com/business-intelligence-manager--1828089-jv?source=searchResults&searchType=2&placement=1828639&sortBy=date
Developer - IT Process Automation,Developer - IT Process Automation,N/A,Công Ty TNHH Century Distribution Systems (International) Limited,Không yêu cầu năm kinh nghiệm,"Unit 2805, 28th Floor, BEA Tower. Millennium City 5, 418 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong, China","$ 800-1,000 /tháng","Computer Science, EDI, JSON, XML, .NET",https://www.vietnamworks.com/developer-it-process-automation-1838782-jv?source=searchResults&searchType=2&placement=1839432&sortBy=date
BD - UX Researcher (Service Design),BD - UX Researcher Service Design,N/A,Bosch Global Software Technologies Company Limited,3 năm kinh nghiệm,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Communication, Critical Thinking, Service Design, User Research, Qualitative Data Analysis",https://www.vietnamworks.com/bd-ux-researcher-service-design-1843786-jv?source=searchResults&searchType=2&placement=1844286&sortBy=date
Middle/Senior Java Developer,Middle/Senior Java Developer,['Senior'],MB AGEAS Life Insurance Company Limited,2 năm kinh nghiệm,"15th Floor, MB Building - 21 Cat Linh Street, Dong Da District, Hanoi",Thương lượng,"Agile Scrum, Java Spring Framework",https://www.vietnamworks.com/middlesenior-java-developer-1837182-jv?source=searchResults&searchType=2&placement=1837282&sortBy=date
