Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Chuyên viên cao cấp/Chuyên viên chính phát triển sản phẩm và Kinh doanh Tài chính số(Mới),N/A,N/A,5 - 8 Năm,Ngân Hàng TMCP Tiên Phong (TPBank),Hồ Chí Minh,Cạnh Tranh,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-chuyen-vien-chinh-phat-trien-san-pham-va-kinh-doanh-tai-chinh-so.35C2D2EA.html
Security Engineer(Mới),N/A,N/A,Trên 1 Năm,Công ty TNHH Viettel - CHT,Hà NộiHồ Chí Minh,Cạnh Tranh,Linux,Careerviet,https://careerviet.vn/vi/tim-viec-lam/security-engineer.35C2D2A4.html
Content Writer (Night Shift)(Mới),N/A,N/A,1 - 2 Năm,CÔNG TY CỔ PHẦN MAC MARKETING,Hồ Chí Minh,11 Tr - 13 Tr VND,SEO,Careerviet,https://careerviet.vn/vi/tim-viec-lam/content-writer-night-shift.35C2D1CB.html
NHÂN VIÊN VẬN HÀNH ERP(Mới),N/A,N/A,N/A,Công ty TNHH SX-TM Thép Tây Nam,Long AnHồ Chí Minh,10 Tr - 12 Tr VND,"SQL, Odoo, MySQL, SAP, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-hanh-erp.35C2D190.html
Chuyên viên tư vấn giải pháp - Presale,N/A,N/A,3 - 5 Năm,Công ty Cổ Phần Sensecures Việt Nam,Hồ Chí Minh,Cạnh Tranh,AWS,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giai-phap-presale.35C286F5.html
SaaS Sales Manager,N/A,N/A,5 - 15 Năm,Company Central Pte. Ltd.,Hồ Chí Minh,"1,500 - 2,500 USD",N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/saas-sales-manager.35C2A164.html
Nhân Viên Kinh Doanh Phần Mềm,N/A,N/A,Trên 1 Năm,CÔNG TY CỔ PHẦN Z HOLDING,Hồ Chí Minh,10 Tr - 15 Tr VND,ERP,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-phan-mem.35C2A0CE.html
Overseas and Domestic Remittance (Banking),N/A,N/A,3 - 5 Năm,PERSOLKELLY Vietnam,Hồ Chí Minh,20 Tr - 30 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/overseas-and-domestic-remittance-banking.35C2A198.html
Software Business Analyst,N/A,N/A,3 - 7 Năm,Công ty TNHH TMDV Sports Turf Solutions,Hồ Chí MinhHà Nội,15 Tr - 25 Tr VND,"Power BI, Excel, Data analysis, Analysis",Careerviet,https://careerviet.vn/vi/tim-viec-lam/software-business-analyst.35C2AFDC.html
Machine Learning Engineer,N/A,N/A,1 - 2 Năm,Công ty TNHH Greystone Data Systems Việt Nam,Hồ Chí Minh,12 Tr - 25 Tr VND,"Python, C/C++, Docker, Jenkins, CI/CD, Linux, PyTorch, Machine Learning, Jupyter",Careerviet,https://careerviet.vn/vi/tim-viec-lam/machine-learning-engineer.35C2AE6C.html
Chuyên viên An ninh thông tin - BP. Chính sách & Tuân thủ,N/A,N/A,1 - 2 Năm,Ngân Hàng Thương Mại Cổ Phần Nam Á (Nam A Bank),Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-an-ninh-thong-tin-bp-chinh-sach-tuan-thu.35C2B0AE.html
Chuyên viên An ninh thông tin - BP. Giám sát an ninh thông tin,N/A,N/A,1 - 2 Năm,Ngân Hàng Thương Mại Cổ Phần Nam Á (Nam A Bank),Hồ Chí Minh,Cạnh Tranh,Linux,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-an-ninh-thong-tin-bp-giam-sat-an-ninh-thong-tin.35C2B0AF.html
Chuyên Viên Tư vấn & Triển khai SAP Module FICO nha,N/A,N/A,2 - 5 Năm,Công Ty Cổ Phần HUM,Hồ Chí Minh,20 Tr - 35 Tr VND,"Agile, SAP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-trien-khai-sap-module-fico-nha.35C2B027.html
Job Description:  SAP SD (Sales and Distribution) Consultant,N/A,N/A,3 - 5 Năm,Công Ty Cổ Phần Hum,Hồ Chí Minh,20 Tr - 35 Tr VND,"Agile, SAP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/job-description-sap-sd-sales-and-distribution-consultant.35C2AEEE.html
Backend Developer (Java),N/A,N/A,N/A,"HD SAISON Finance Co., Ltd",Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/backend-developer-java.35C2B01C.html
Python Developer,N/A,N/A,Trên 3 Năm,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,Hồ Chí Minh,Cạnh Tranh,"Python, Docker, Kubernetes, PostgreSQL, Redis, CI/CD, Linux, Agile, Kafka",Careerviet,https://careerviet.vn/vi/tim-viec-lam/python-developer.35C2C190.html
Front - End Developer ReactJs,N/A,N/A,Trên 3 Năm,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,Hồ Chí Minh,Cạnh Tranh,"JavaScript, HTML, CSS, React, RESTful, MongoDB, MySQL, Git, NoSQL",Careerviet,https://careerviet.vn/vi/tim-viec-lam/front-end-developer-reactjs.35C2C196.html
SOFTWARE ENGINEER,N/A,N/A,1 - 3 Năm,Công ty TNHH Sài Gòn Stec,Bình Dương,15 Tr - 23 Tr VND,"Python, SQL, Excel, Data science, PC, Power Point, Statistics, Analysis",Careerviet,https://careerviet.vn/vi/tim-viec-lam/software-engineer.35C26A76.html
Cộng tác viên Giám sát an ninh thông tin,N/A,N/A,N/A,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/cong-tac-vien-giam-sat-an-ninh-thong-tin.35C20D49.html
DevOps Engineer,N/A,N/A,N/A,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh tranh,"Python, Docker, Kubernetes, AWS, Azure, Jenkins, Git, CI/CD, Ansible, Linux, JIRA, TCP/IP, Load Balancing",Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-engineer.35C26559.html
System Engineer,N/A,N/A,2 - 5 Năm,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh tranh,"Python, Kubernetes, AWS, Azure, MySQL, ElasticSearch, Terraform, Ansible, Linux, Bash, Agile, VMware, Kafka, Nginx",Careerviet,https://careerviet.vn/vi/tim-viec-lam/system-engineer.35C2655F.html
[CVP] Chuyên gia Phân tích dữ liệu,N/A,N/A,5 - 7 Năm,Công Ty Tài Chính TNHH MB SHINSEI (MCREDIT),Hà Nội,Cạnh tranh,"Python, SQL, Tableau, Power BI, Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/cvp-chuyen-gia-phan-tich-du-lieu.35C1F8FC.html
Nhân viên Vận hành hệ thống phần mềm (Nhận việc sau Tết)(Mới),N/A,N/A,Trên 1 Năm,Công Ty TNHH Anh Tin,Hồ Chí Minh,10 Tr - 15 Tr VND,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-hanh-he-thong-phan-mem-nhan-viec-sau-tet.35C2D47D.html
TRỢ LÝ KINH DOANH (TIẾNG TRUNG),N/A,N/A,Lên đến 2 Năm,Công ty TNHH Thương Mại ABICO Việt Nam,Hồ Chí Minh,15 Tr - 20 Tr VND,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/tro-ly-kinh-doanh-tieng-trung.35C23793.html
Chuyên Viên Kinh Doanh Kênh Phân Phối,N/A,N/A,3 - 5 Năm,Công ty TNHH Acer Việt Nam,Hồ Chí MinhHà Nội,Cạnh tranh,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-kenh-phan-phoi.35C23826.html
Nhân viên kiểm thử phần mềm,N/A,N/A,1 - 3 Năm,Công ty Cổ phần CANIFA,Hà Nội,8 Tr - 16 Tr VND,JIRA,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kiem-thu-phan-mem.35C238CB.html
Nhân Viên Video Editor (2D),N/A,N/A,1 - 2 Năm,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,Hà Nội,12 Tr - 15 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-video-editor-2d.35C2394B.html
Nhân viên phân tích nghiệp vụ ERP (chấp nhận Fresher),N/A,N/A,1 - 3 Năm,Công ty Cổ phần CANIFA,Hà Nội,8 Tr - 16 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-phan-tich-nghiep-vu-erp-chap-nhan-fresher.35C238DA.html
Nhân Viên Bảo Hành Sửa Chữa,N/A,N/A,1 - 2 Năm,Công Ty Cổ Phần Đầu tư Hoàng Đạo,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-bao-hanh-sua-chua.35C229C3.html
Operational Excellent Manager - Data Analysis,N/A,N/A,Trên 7 Năm,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Cạnh tranh,"SQL, Tableau, Power BI, Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/operational-excellent-manager-data-analysis.35C23959.html
