Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Job URL,Source Platform
Nhân Viên Tư Vấn Website - Thu Nhập Lên Tới 15 Triệu - Không Yêu Cầu Kinh Nghiệm - Hồ Chí Minh,,Nhân viên,Không yêu cầu kinh nghiệm,Công ty TNHH Truyền Thông và Quảng Cáo Siêu Kinh Doanh,Hồ Chí Minh,7 - 15 triệu,"Kỹ năng Thuyết phục, Kỹ năng giải quyết vấn đề, Giao tiếp tốt, Kỹ Năng Lắng Nghe Tích Cực",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-website-thu-nhap-len-toi-15-trieu-khong-yeu-cau-kinh-nghiem-ho-chi-minh/1569513.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
C++ C# Developer (Remote) - Toàn Quốc - Thu Nhập 20-55 Triệu,,Nhân viên,2 năm,CÔNG TY TNHH  PHẦN MỀM GIÁ TRỊ TÍNH  TOÁN VÀ ỨNG DỤNG CÔNG NGHỆ CAO,Hà Nội & 2 nơi khác,20 - 55 triệu,"C#, C++, Object Oriented Programming (oop), Data Structures And Algorithms, Software Design Principles",https://www.topcv.vn/viec-lam/c-c-developer-remote-toan-quoc-thu-nhap-20-55-trieu/1569512.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Trưởng Phòng Vận Hành Dự Án - Thử Việc 100% Lương Thu Nhập Đến 30 Triệu (TP.Hồ Chí Minh),,Trưởng/Phó phòng,2 năm,CÔNG TY TNHH NTADA,Hồ Chí Minh,20 - 30 triệu,"Quản Lý Dự Án, Giải quyết vấn đề, Quản Lý Rủi Ro, Lập Kế Hoạch Dự Án, Theo Dõi Và Kiểm Soát Dự Án",https://www.topcv.vn/viec-lam/truong-phong-van-hanh-du-an-thu-viec-100-luong-thu-nhap-den-30-trieu-tp-ho-chi-minh/1572620.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
2D Visual Graphic Designer (Có Kinh Nghiệm),,Nhân viên,1 năm,Công ty TNHH Hivelab Vina,Hà Nội,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/2d-visual-graphic-designer-co-kinh-nghiem/1569053.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
"Chuyên Viên Công Nghệ Thông Tin/ Developer (Nghỉ Thứ 7 + Chủ Nhật, Thu Nhập Hấp Dẫn)","Pro

Trung tâm Dịch vụ số MobiFone - Chi nhánh Tổng Công ty Viễn Thông Mobifone",Nhân viên,1 năm,Trung tâm Dịch vụ số MobiFone - Chi nhánh Tổng Công ty Viễn Thông Mobifone,Hà Nội,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/chuyen-vien-cong-nghe-thong-tin-developer-nghi-thu-7-chu-nhat-thu-nhap-hap-dan/1567302.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
IT Japanese Communicator - JLPT N2,,Nhân viên,3 năm,CÔNG TY TRÁCH NHIỆM HỮU HẠN THK HOLDINGS VIỆT NAM,Hồ Chí Minh,Thoả thuận,"Làm việc nhóm, Kỹ năng giải quyết vấn đề, Giao tiếp hiệu quả, Tóm Tắt Thông Tin, Kỹ Năng Trình Bày, Tiếng Nhật (năng Lực Nghe, Nói, Đọc, Viết)",https://www.topcv.vn/viec-lam/it-japanese-communicator-jlpt-n2/1573129.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Chuyên Viên Tuyển Dụng (Mạnh Tuyển Dụng IT) - Thu Nhập Upto 15 Triệu/Tháng,,Nhân viên,3 năm,SAPP Academy,Hà Nội,Thoả thuận,"Tin học văn phòng, Tiếng Anh đọc hiểu, Đàm phán, phỏng vấn, hunting, Sourcing Ứng Viên",https://www.topcv.vn/viec-lam/chuyen-vien-tuyen-dung-manh-tuyen-dung-it-thu-nhap-upto-15-trieu-thang/1565837.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
"TOP


B2B Sales Supervisor",,Quản lý / Giám sát,2 năm,CÔNG TY TNHH ALIBABA.COM (VIỆT NAM),Hà Nội & 3 nơi khác,30 - 75 triệu,"Tư duy logic, Quản Lý Đội Nhóm, Xây Dựng Kế Hoạch, Phân Tích Dữ Liệu Bán Hàng, Xây Dựng Mối Quan Hệ Khách Hàng, Đàm Phán Và Thương Lượng, Khả Năng Lãnh Đạo, Kỹ Năng Bán Hàng B2b, Lập Kế Hoạch Và Chiến Lược Bán Hàng",https://www.topcv.vn/viec-lam/b2b-sales-supervisor/1568922.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Giám Đốc Công Nghệ Thông Tin - Đi Làm Sau Tết Nguyên Đán,"Pro

Công ty Cổ phần Đầu tư Xây dựng Newtecons",Giám đốc,Trên 5 năm,Công ty Cổ phần Đầu tư Xây dựng Newtecons,Hồ Chí Minh,Thoả thuận,"IELTS 6.5, Quản Lý Dự Án, An Ninh Mạng, Kiến Trúc Hệ Thống, Lập Kế Hoạch Chiến Lược Cntt, Quản Lý Ngân Sách Cntt",https://www.topcv.vn/viec-lam/giam-doc-cong-nghe-thong-tin-di-lam-sau-tet-nguyen-dan/1569603.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Lập Trình Viên .Net (Construction IT),,Nhân viên,3 năm,Công ty TNHH Thiết kế T&T,Hà Nội,17 - 25 triệu,N/A,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-construction-it/1569906.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
