Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Senior Mobile Dev (Chuyên viên phát triển ứng dụng Mobile),N/A,N/A,5 - 10 Năm,CÔNG TY CỔ PHẦN ONEFIN VIỆT NAM,Hồ Chí Minh,30 Tr - 40 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-mobile-dev-chuyen-vien-phat-trien-ung-dung-mobile.35C22177.html
Senior QC (Chuyên viên kiểm thử phần mềm),N/A,N/A,5 - 10 Năm,CÔNG TY CỔ PHẦN ONEFIN VIỆT NAM,Hồ Chí MinhHà Nội,30 Tr - 40 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-qc-chuyen-vien-kiem-thu-phan-mem.35C22174.html
Odoo Developer,N/A,N/A,2 - 5 Năm,CÔNG TY TNHH CÔNG NGHỆ B2B,Hồ Chí Minh,Cạnh Tranh,"Python, Odoo",Careerviet,https://careerviet.vn/vi/tim-viec-lam/odoo-developer.35C24288.html
Lead/Senior Digital Performance Marketing,N/A,N/A,3 - 10 Năm,Red Star Technology Company,Hồ Chí MinhHà Nội,"1,000 - 3,000 USD",Power BI,Careerviet,https://careerviet.vn/vi/tim-viec-lam/lead-senior-digital-performance-marketing.35C24239.html
(Senior) IOT Device Support Engineer,N/A,N/A,3 - 7 Năm,CÔNG TY TNHH CARTRACK VIETNAM,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-iot-device-support-engineer.35C242F4.html
IT DevOps Engineer,N/A,N/A,Trên 3 Năm,CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/it-devops-engineer.35C243D8.html
"Chuyên viên tư vấn, triển khai ERP-SAP module SD",N/A,N/A,3 - 5 Năm,Công Ty Cổ Phần Hum,Hồ Chí Minh,20 Tr - 35 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-trien-khai-erp-sap-module-sd.35C242F2.html
PHP Magento,N/A,N/A,2 - 4 Năm,Công ty TNHH Levinci,Hồ Chí Minh,15 Tr - 25 Tr VND,"JavaScript, HTML, CSS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/php-magento.35C25855.html
"Senior System Administrator (Linux, Database)",N/A,N/A,N/A,Simpson Strong Tie Viet Nam Company Limited,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-system-administrator-linux-database.35C25895.html
[C15] Nhân Viên Chăm Sóc Khách Hàng Cho Mạng Vinaphone Line Di Động,N/A,N/A,N/A,BellSystem24-Việt Nam,Hồ Chí Minh,6 Tr - 8 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/c15-nhan-vien-cham-soc-khach-hang-cho-mang-vinaphone-line-di-dong.35C25940.html
Collections Portfolio Management Expert,N/A,N/A,4 - 6 Năm,FE CREDIT,Hồ Chí Minh,Cạnh Tranh,"Python, SQL",Careerviet,https://careerviet.vn/vi/tim-viec-lam/collections-portfolio-management-expert.35C25A35.html
Senior/Expert IT Security Specialist (Infrastructure),N/A,N/A,4 - 10 Năm,FE CREDIT,Hồ Chí Minh,"1,000 - 2,000 USD",Python,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-expert-it-security-specialist-infrastructure.35C259E7.html
Chuyên viên Quản lý Sự Cố IT,N/A,N/A,1 - 2 Năm,FE CREDIT,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-su-co-it.35C25A2E.html
Senior IT Business Analyst Specialist,N/A,N/A,4 - 6 Năm,FE CREDIT,Hồ Chí Minh,"1,000 - 1,800 USD",Analysis,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-it-business-analyst-specialist.35C258C0.html
Chuyên gia Scrum Master (App Fintech),N/A,N/A,Trên 2 Năm,CÔNG TY CỔ PHẦN KINH DOANH F88,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-scrum-master-app-fintech.35C259EE.html
Senior WordPress Developer,N/A,N/A,3 - 10 Năm,Red Star Technology Company,Hồ Chí Minh,"1,800 - 2,500 USD","Python, SQL, JavaScript, HTML, CSS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-wordpress-developer.35C26BCF.html
GRAPHIC DESIGNER CUM VIDEO EDITOR,N/A,N/A,Trên 2 Năm,Công ty TNHH Tư Vấn Đầu Tư Immica,Hồ Chí Minh,Trên 17 Tr VND,PC,Careerviet,https://careerviet.vn/vi/tim-viec-lam/graphic-designer-cum-video-editor.35C26695.html
Trưởng nhóm Vận hành,N/A,N/A,Trên 3 Năm,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà NộiHồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-van-hanh.35C26D04.html
