Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Senior Solution Consultant(Mới),,,3 - 5 Năm,HR Vietnam’s ESS Client,Hồ Chí Minh,40 Tr - 50 Tr VND,AWS,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-solution-consultant.35C27ECA.html
Software Detailed Design Engineer - Business Analyst (Sign-on Bonus)(Mới),,,3 - 5 Năm,Công Ty TNHH Lampart,Hồ Chí Minh,Cạnh Tranh,"Java, SQL, PHP, Agile",Careerviet,https://careerviet.vn/vi/tim-viec-lam/software-detailed-design-engineer-business-analyst-sign-on-bonus.35C27E8A.html
Business Analyst(Mới),,,4 - 7 Năm,Công ty TNHH TMDV Sports Turf Solutions,Hồ Chí Minh,18 Tr - 25 Tr VND,"Power BI, Excel, Data analysis, Analysis",Careerviet,https://careerviet.vn/vi/tim-viec-lam/business-analyst.35C27DE6.html
System Engineer (Kỹ sư triển khai hệ thống),,,Trên 2 Năm,Công ty Cổ phần Công nghệ - Viễn thông Elcom,Hồ Chí Minh,Cạnh Tranh,"Linux, VMware",Careerviet,https://careerviet.vn/vi/tim-viec-lam/system-engineer-ky-su-trien-khai-he-thong.35C2281E.html
Senior Data Analyst,,,4 - 5 Năm,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-data-analyst.35C22776.html
Junior M365 Engineer,,,Trên 1 Năm,SPS Vietnam,Hồ Chí Minh,Cạnh Tranh,"Azure, AI",Careerviet,https://careerviet.vn/vi/tim-viec-lam/junior-m365-engineer.35C22649.html
[H4] CHUYÊN VIÊN QUẢN TRỊ HỆ THỐNG MẠNG - THU NHẬP 12 - 14TR,,,1 - 2 Năm,BellSystem24-Việt Nam,Hồ Chí Minh,12 Tr - 14 Tr VND,"AWS, Linux, VMware, TCP/IP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/h4-chuyen-vien-quan-tri-he-thong-mang-thu-nhap-12-14tr.35C22701.html
Electronics Technical Support Team Leader (Automotive),,,4 - 10 Năm,CÔNG TY TNHH CARTRACK VIETNAM,Hồ Chí Minh,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/electronics-technical-support-team-leader-automotive.35C226E9.html
Head of Data Architecture & Governance Department,,,10 - 15 Năm,FE CREDIT,Hồ Chí Minh,Cạnh Tranh,"SQL, Analysis, JIRA",Careerviet,https://careerviet.vn/vi/tim-viec-lam/head-of-data-architecture-governance-department.35C225C1.html
Senior Java Developer,,,4 - 5 Năm,HR Vietnam’s ESS Client,Hồ Chí Minh,Cạnh Tranh,"Java, Docker, AWS, Spring, Redis, Ansible, Agile, Kafka",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-java-developer.35C244EB.html
QC/ Tester (Kinh nghiệm Manual lẫn Auto),,,2 - 4 Năm,CÔNG TY TNHH CÔNG NGHỆ THỂ THAO OOKK,Hồ Chí Minh,Cạnh Tranh,"SQL, Docker, CI/CD",Careerviet,https://careerviet.vn/vi/tim-viec-lam/qc-tester-kinh-nghiem-manual-lan-auto.35C24610.html
ERP/ SAP Application Support Supervisor (Business Information Services),,,2 - 5 Năm,Zuellig Pharma Viet Nam,Hồ Chí Minh,Cạnh Tranh,"SAP, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/erp-sap-application-support-supervisor-business-information-services.35C2467E.html
Senior Data Analyst,,,Trên 3 Năm,CÔNG TY TNHH ANTSOMI VIỆT NAM,Hồ Chí Minh,18 Tr - 22 Tr VND,"Python, SQL, Power BI, Data analysis, Data science, Statistics, Analysis, Machine Learning",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-data-analyst.35C245DA.html
Senior Java Developer - Hanoi/HoChiMinh - TA160,,,3 - 7 Năm,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà NộiHồ Chí Minh,Cạnh Tranh,"Java, SQL, Kubernetes, Angular, Spring, SOAP, Git, JIRA",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-java-developer-hanoi-hochiminh-ta160.35C244D0.html
Chuyên Viên Vận Hành POS - HCM - TA083,,,1 - 2 Năm,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hồ Chí Minh,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-van-hanh-pos-hcm-ta083.35C24700.html
Technical Architect,,,,"HD SAISON Finance Co., Ltd",Hồ Chí Minh,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/technical-architect.35C2477F.html
Business Development Executive,,,1 - 2 Năm,Vietmap - Công ty Cổ phần Ứng Dụng Bản Đồ Việt,Hà NộiHồ Chí Minh,12 Tr - 25 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/business-development-executive.35C25C96.html
PRESALES ENGINEER,,,Trên 2 Năm,CÔNG TY CP THƯƠNG MẠI - DỊCH VỤ SAO NAM AN,Hồ Chí Minh,13 Tr - 20 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/presales-engineer.35C25C9B.html
Hybrid Mobile Engineer,,,5 - 20 Năm,Adnovum Vietnam,Hồ Chí Minh,Cạnh Tranh,"Java, JavaScript, HTML, CSS, Spring, Android, Cordova",Careerviet,https://careerviet.vn/vi/tim-viec-lam/hybrid-mobile-engineer.35C25B99.html
[C15] Gò Vấp - Tổng Đài Viên Cho Mạng Vinaphone Không Yêu Cầu Kinh Nghiệm,,,,BellSystem24-Việt Nam,Hồ Chí Minh,6 Tr - 8 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/c15-go-vap-tong-dai-vien-cho-mang-vinaphone-khong-yeu-cau-kinh-nghiem.35C25CE7.html
